id	filename	md5	size	state
52d611e3-67f0-4753-8ed7-355f8258ff77	TCGA-K4-A3WU-01B-01-TS1.9C0AEB9C-6265-41C9-A761-DF75AAF4A9BE.svs	76b78d34a0ce743abdfc4cfff55c026d	203047123	released
b2023b23-df21-4165-92c3-211a9e43fb5f	TCGA-DK-A3IN-01Z-00-DX1.2AB0F8FC-CC41-4277-A8AF-8AE709D98DA0.svs	9e11709b6178555f9cf09ccdd158f430	1313413695	released
fd373385-e667-4441-a9b0-279dc8c3e5a4	nationwidechildrens.org_biospecimen.TCGA-FD-A3B7.xml	35a0674021ea165414b62718d19c1b8d	58887	released
9c6af6bb-b5a4-4d73-8577-6f2b9a421c70	nationwidechildrens.org_ssf.TCGA-FD-A3B7.xml	6469a7ca9106fc797a9be76cef70ce67	16977	released
bc705698-4936-4aff-ae6a-98f210f5798b	nationwidechildrens.org_ssf.TCGA-GC-A3RB.xml	d7c134da59dd498a01e059b643537ad9	16180	released
da29b24a-5d25-4604-83af-687d47a7d59b	TCGA-GC-A3YS-01Z-00-DX1.97B4664A-9D8B-460D-B4A4-89855D3DB0C2.svs	9d5b8641319238510cbce6855a1c293b	907041760	released
6037cddf-cbfb-4ad2-a18b-d774305cfe4c	nationwidechildrens.org_biospecimen.TCGA-G2-A3IE.xml	e98079ed6654cafd0fd6169e2d4da19b	59036	released
c1d8b106-facd-4f1c-9f72-9fdd8fe9c818	nationwidechildrens.org_biospecimen.TCGA-DK-A3IV.xml	801e3505926948d4541f582a2a7289ef	58891	released
7c0c25e4-2f77-416c-9e3a-ab0870a57540	TCGA-G2-A3IE-01Z-00-DX1.DEEF9D35-CE4C-499F-9481-9E9E379694FC.svs	bba3d04982ce6a56bf4214b106d45364	2711192931	released
5f966c13-7987-43d4-9347-7a658633e04f	TCGA-BT-A20V-01A-01-TSA.69b8b994-469c-483e-8027-108444183c32.svs	7ff5ae97c30ed16a84fbc5ca9d48a89a	281762615	released
37c4c69c-5734-48f2-946d-d379c1946bef	TCGA-BL-A0C8-01Z-00-DX2.1D788C7B-801F-4957-B1DE-43DCAA82A16A.svs	9bb7985e7fb55592d3094e41731629ae	779227301	released
273b870a-0a0b-4ecc-955c-454baaf6bfac	TCGA-GC-A3WC-11A-01-TS1.30E967B2-D170-492B-86A6-2B5404A48376.svs	e133f4540259f49102e3780ae85f1c25	44456225	released
2472a769-de6b-4aea-9db3-ea00a845076c	nationwidechildrens.org_biospecimen.TCGA-DK-AA74.xml	dcc0e57cbad0db5edfbb93d50ac4d985	53907	released
00d1f8f3-871e-403b-ad3a-d98d3ec224db	nationwidechildrens.org_biospecimen.TCGA-FD-A6TK.xml	00bb698aa30f18285de76c9f49781176	54004	released
472ded99-3744-49d0-abca-273d7c519991	nationwidechildrens.org_ssf.TCGA-FD-A6TK.xml	011f5585ac4e3c80cb00ee4edadce7aa	16318	released
9862b1f0-4af7-4379-a350-f4332acac8a4	nationwidechildrens.org_biospecimen.TCGA-FD-A3NA.xml	9a21804703f1f465576167d95fdb1cf6	58891	released
0ecc5af7-140b-4fe0-89f7-0d8e61fad2a1	TCGA-GV-A3QG-01A-01-TSA.8B6E9A66-14DD-4C92-8719-DDF94F4D8895.svs	3c321e4bf8688f8b6a7fc8e42399a7d5	282650093	released
65e10425-c176-4c2a-8372-ba7490ee25fa	TCGA-HQ-A5ND-01A-01-TS1.1E40416D-66D0-41E9-8C24-26234D5D8325.svs	8299662f981de39612efbd6457fcc08e	407281993	released
ecf65ad0-d7e6-4129-8ec0-48a74c77de7e	nationwidechildrens.org_ssf.TCGA-HQ-A5ND.xml	a32878a00fbae76ca4a27e2ec286097a	16554	released
c37e5b6c-5115-4625-85d4-66b2b487e646	nationwidechildrens.org_biospecimen.TCGA-HQ-A5ND.xml	7ead3d49dc0fee82176722d71491e874	53853	released
6c2a8e85-6288-49b2-bd64-17f00de792e9	TCGA-E7-A7PW-01A-01-TSA.A1A3346B-B696-4A4B-8C8F-229764031E85.svs	997bcefa4aa362128109e6c223936f1b	222563209	released
77a32411-2d01-4795-aa11-85ea66572f98	nationwidechildrens.org_biospecimen.TCGA-FD-A6TC.xml	85f9ea1952865f7abfe850065cdc5a14	52351	released
b38528a5-e984-42c1-8b84-d30cf70bbfd4	TCGA-E7-A7PW-01Z-00-DX1.27B92FC6-D50C-4816-A2C2-35E73D379DDD.svs	7c8ce9c06fa620277a29ad0323e1a29a	1924709555	released
9fb1693d-bbdc-44f8-b360-d36db1acaea8	nationwidechildrens.org_ssf.TCGA-FD-A6TC.xml	dbc807123b393bd26985b8d88ea5af0c	16350	released
730777e5-e3cf-47cc-8d6d-6169dffd75ea	nationwidechildrens.org_ssf.TCGA-GV-A3JV.xml	30f3a75e7bb23031d0e6304576f7f85e	16958	released
2011bccc-dfb3-43be-b34a-39fff2696aac	TCGA-GV-A3JV-01Z-00-DX1.F071374F-1290-4A36-9466-D6F1F3EBC17E.svs	255f2d89e9b47dc2da6e949ce7bd4310	964833176	released
5326c43a-b114-4a42-8fac-c5448bf64374	TCGA-XF-A8HH-01A-01-TSA.F429621E-12A5-4B70-B746-632BEE6441C7.svs	eec4d171b0641707f7b39704d768105f	349397389	released
